sampleid	Day	PigID	pen	Feed	Coli	Source	batch	key	sow	treat	Score	f_DM	RBC	HGB	HCT	MCV	MCH	MCHC	RET	RET_2	PLT	WBC	NEUT	LYMPH	MONO	EO	BASO	NEUT_2	LYMPH_2	MONO_2	EO_2	BASO_2
C1	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control
C2	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control
M488	30	6958	13	blackb	pos	Si2	2	2-6958-30	B	GB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M489	30	6958	13	blackb	pos	Si3	2	2-6958-30	B	GB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M490	30	6958	13	blackb	pos	Cae5	2	2-6958-30	B	GB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M491	30	6958	13	blackb	pos	Co2	2	2-6958-30	B	GB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M492	30	6942	5	std	pos	Sto	2	2-6942-30	B	PC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M493	30	6942	5	std	pos	Si2	2	2-6942-30	B	PC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M494	30	6942	5	std	pos	Si3	2	2-6942-30	B	PC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M495	30	6942	5	std	pos	Cae5	2	2-6942-30	B	PC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M496	30	6942	5	std	pos	Co2	2	2-6942-30	B	PC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M497	30	6952	10	apple	pos	Sto	2	2-6952-30	G	GA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M498	30	6952	10	apple	pos	Si2	2	2-6952-30	G	GA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M499	30	6952	10	apple	pos	Si3	2	2-6952-30	G	GA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M500	30	6952	10	apple	pos	Cae5	2	2-6952-30	G	GA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M501	30	6952	10	apple	pos	Co2	2	2-6952-30	G	GA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M502	30	6936	2	std	neg	Sto	2	2-6936-30	G	NC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M503	30	6936	2	std	neg	Si2	2	2-6936-30	G	NC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M504	30	6936	2	std	neg	Si3	2	2-6936-30	G	NC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M505	30	6936	2	std	neg	Cae5	2	2-6936-30	G	NC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M506	30	6936	2	std	neg	Co2	2	2-6936-30	G	NC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M507	30	6944	6	std	pos	Sto	2	2-6944-30	G	PC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M508	30	6944	6	std	pos	Si2	2	2-6944-30	G	PC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M509	30	6944	6	std	pos	Si3	2	2-6944-30	G	PC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M510	30	6944	6	std	pos	Cae5	2	2-6944-30	G	PC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M511	30	6944	6	std	pos	Co2	2	2-6944-30	G	PC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M512	30	6960	14	blackb	pos	Sto	2	2-6960-30	G	GB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M513	30	6960	14	blackb	pos	Si2	2	2-6960-30	G	GB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M514	30	6960	14	blackb	pos	Si3	2	2-6960-30	G	GB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M515	30	6960	14	blackb	pos	Cae5	2	2-6960-30	G	GB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M516	30	6960	14	blackb	pos	Co2	2	2-6960-30	G	GB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M517	30	6954	11	apple	pos	Sto	2	2-6954-30	N	GA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M518	30	6954	11	apple	pos	Si2	2	2-6954-30	N	GA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M519	30	6954	11	apple	pos	Si3	2	2-6954-30	N	GA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M520	30	6954	11	apple	pos	Cae5	2	2-6954-30	N	GA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M521	30	6954	11	apple	pos	Co2	2	2-6954-30	N	GA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M522	30	6938	3	std	neg	Sto	2	2-6938-30	N	NC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M523	30	6938	3	std	neg	Si2	2	2-6938-30	N	NC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M524	30	6938	3	std	neg	Si3	2	2-6938-30	N	NC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M525	30	6938	3	std	neg	Cae5	2	2-6938-30	N	NC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M526	30	6938	3	std	neg	Co2	2	2-6938-30	N	NC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M527	30	6961	15	blackb	pos	Sto	2	2-6961-30	N	GB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M528	30	6961	15	blackb	pos	Si2	2	2-6961-30	N	GB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M529	30	6961	15	blackb	pos	Si3	2	2-6961-30	N	GB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M530	30	6961	15	blackb	pos	Cae5	2	2-6961-30	N	GB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M531	30	6961	15	blackb	pos	Co2	2	2-6961-30	N	GB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M532	30	6948	8	std	pos	Sto	2	2-6948-30	R	PC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M533	30	6948	8	std	pos	Si2	2	2-6948-30	R	PC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M534	30	6948	8	std	pos	Si3	2	2-6948-30	R	PC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M535	30	6948	8	std	pos	Cae5	2	2-6948-30	R	PC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M536	30	6948	8	std	pos	Co2	2	2-6948-30	R	PC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M537	30	6956	12	apple	pos	Sto	2	2-6956-30	R	GA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M538	30	6956	12	apple	pos	Si2	2	2-6956-30	R	GA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M539	30	6956	12	apple	pos	Si3	2	2-6956-30	R	GA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M540	30	6956	12	apple	pos	Cae5	2	2-6956-30	R	GA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M541	30	6956	12	apple	pos	Co2	2	2-6956-30	R	GA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M542	30	6940	4	std	neg	Sto	2	2-6940-30	R	NC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M543	30	6940	4	std	neg	Si2	2	2-6940-30	R	NC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M544	30	6940	4	std	neg	Si3	2	2-6940-30	R	NC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M545	30	6940	4	std	neg	Cae5	2	2-6940-30	R	NC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M546	30	6940	4	std	neg	Co2	2	2-6940-30	R	NC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M547	30	6964	16	blackb	pos	Sto	2	2-6964-30	R	GB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M548	30	6964	16	blackb	pos	Si2	2	2-6964-30	R	GB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M549	30	6964	16	blackb	pos	Si3	2	2-6964-30	R	GB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M550	30	6964	16	blackb	pos	Cae5	2	2-6964-30	R	GB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
