sampleid	Day	PigID	pen	Feed	Coli	Source	batch	key	sow	treat	Score	f_DM	RBC	HGB	HCT	MCV	MCH	MCHC	RET	RET_2	PLT	WBC	NEUT	LYMPH	MONO	EO	BASO	NEUT_2	LYMPH_2	MONO_2	EO_2	BASO_2
C1	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control
C2	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control
M26	1	6927	14	blackb	pos	faecal	1	1-6927-1	1117	GB	NA	31.45801656	5.91	108	36.7	62.1	18.3	294	122.3	2.07	532	22.8	12.51	8.1	0.77	1.39	0.03	54.9	35.5	3.4	6.1	0.1
M27	1	6928	14	blackb	pos	faecal	1	1-6928-1	1117	GB	NA	NA	6.15	113	38.2	62.1	18.4	296	168.5	2.74	460	24.22	12.25	9.7	0.78	1.48	0.01	50.7	40	3.2	6.1	0
M28	1	6929	15	blackb	pos	faecal	1	1-6929-1	1309	GB	NA	30.90877974	5.88	110	37	62.9	18.7	297	188.2	3.2	365	18.35	9.56	7.02	0.71	1.05	0.01	52	38.3	3.9	5.7	0.1
M29	1	6930	15	blackb	pos	faecal	1	1-6930-1	1309	GB	NA	36.12973647	5.9	105	36.6	62	17.8	287	159.3	2.7	396	24.1	9.5	11.58	1.69	1.31	0.02	39.5	48	7	5.4	0.1
M30	1	6931	16	blackb	pos	faecal	1	1-6931-1	1322	GB	NA	29.25402781	6.25	107	38.2	61.1	17.1	280	201.9	3.23	387	26.1	7.39	16.16	1.48	1.07	0	28.3	61.9	5.7	4.1	0
M62	3	6901	1	std	neg	faecal	1	1-6901-3	1229	NC	3	25.95579035	6.08	107	36.1	59.4	17.6	296	204.3	3.36	119	27.64	10.96	13.42	1.48	1.77	0.01	39.6	48.6	5.4	6.4	0
M63	3	6902	1	std	neg	faecal	1	1-6902-3	1229	NC	3	21.08351261	6.8	117	39.7	58.4	17.2	295	222.4	3.27	285	30.31	13.16	13	0.82	3.32	0.01	43.4	42.9	2.7	11	0
M64	3	6903	2	std	neg	faecal	1	1-6903-3	1117	NC	3	25.27753108	7.04	120	39.4	56	17	305	140.1	1.99	347	17.47	7.57	8.3	0.96	0.64	0	43.3	47.5	5.5	3.7	0
M65	3	6904	2	std	neg	faecal	1	1-6904-3	1117	NC	3	25.13399154	6.9	125	41.6	60.3	18.1	300	133.9	1.94	549	29.73	17.59	9.67	0.95	1.51	0.01	59.2	32.5	3.2	5.1	0
M66	3	6905	3	std	neg	faecal	1	1-6905-3	1309	NC	3	25.28548124	5.85	103	34.1	58.3	17.6	302	95.9	1.64	361	22.61	8.82	11.18	1.24	1.37	0	39	49.4	5.5	6.1	0
M67	3	6906	3	std	neg	faecal	1	1-6906-3	1309	NC	3	23.03921569	5.65	106	35.2	62.3	18.8	301	112.4	1.99	300	21.41	10.33	8.31	0.3	2.47	0	48.3	38.8	1.4	11.5	0
M68	3	6907	4	std	neg	faecal	1	1-6907-3	1322	NC	2	28.23174184	5.56	108	36.4	65.5	19.4	297	131.2	2.36	279	13.19	4.7	6.69	1.02	0.78	0	35.7	50.7	7.7	5.9	0
M69	3	6908	4	std	neg	faecal	1	1-6908-3	1322	NC	2	26.88860435	5.76	107	35	60.8	18.6	306	207.9	3.61	522	18.88	7.29	7.45	1.03	3.11	0	38.5	39.5	5.5	16.5	0
M70	3	6909	5	std	pos	faecal	1	1-6909-3	1229	PC	3	23.67409685	6.22	115	38.2	61.4	18.5	301	97	1.56	428	11.42	4.11	6.17	0.8	0.33	0.01	36	54	7	2.9	0.1
